"CompanyName_E","Region_Name_E","Circle_Name_E","Division_Name_E","DC_Name_E","Region_Name_E-2","gis_feeder_id","description_of_work","tkc_apply_date","pma_apply_date","dgm_apply_date","je_apply_date","gm_apply_date","gm_cert_apply_date"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Masangaon D/C","Bhopal","64887","ADDI DTR WITH NEW 11 KV LINE LT DHANWADA BAMANGAON","2026-03-19","2026-03-28",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","267508","Additional dtr at shamsan ghat kukrawad","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","249085","100 KVA RAMJIVAN CHACHRE WALA MALGAON ADDITIONAL","2025-05-18","2025-05-18","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","263489","ADDITIONAL 63KVA MADAN CHOUHAN WALA","2026-03-19","2026-03-19",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","263485","SEPRATE AG 63KVA 3 NO. CHHIDGAON","2026-03-19","2026-03-19",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","263484","SEPRATE AG 63KVA 2 NO. CHHIDGAON","2026-03-19","2026-03-19",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","265691","Additional dtr at Bhatparetiya","2026-03-20","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","252378","100 KVA PAWAR WALA KHAMGAON ADDITIONAL","2026-03-19","2026-03-25",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","241550","Additional dtr at Hanuman mandir barkala","2026-03-21","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","241582","Additional dtr at rajes dugaya ke pass uda","2026-03-21","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","241551","Additional dtr at bucha dada ke pass charkheda","2026-03-21","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","241558","Additional dtr at near madhu doctor nimacha","2026-03-21","2026-04-24",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","241591","Additional dtr at bus stand uda","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","241588","Additional dtr at bhilat baba uda","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Rehatgaon D/C","Bhopal","249514","100 KVA JAMDHAD NO 2 ADDITIONAL","2025-05-18","2025-05-18","2026-03-10","2026-03-09","2026-03-15","2026-03-15"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","243078","Additional DTR at aam dhana deendayal ke pass bala","2026-03-21","2026-04-06",NULL,NULL,NULL,NULL
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda South","Timarni D/C","Bhopal","68734","ADDITIONAL 100KVA NANDLAL WALA BHADUGAON","2025-06-02","2025-06-06","2025-12-08","2025-09-24","2025-12-10","2025-12-10"
"K K Construction Co","Bhopal","O&M Circle Harda","O&M Division Harda North","Harda South D/C","Bhopal","241572","Additional dtr at Suresh morchale ke pass khidkiwa","2026-03-21","2026-04-24",NULL,NULL,NULL,NULL
